choice,budget,feature,eligible_overlap_bases,selected_overlap_bases,eligible_fraction,selected_fraction,eligible_feature_base_recall,coverage_enrichment
primary,0.2,three_prime_utr,1731263,666276,0.02165323811191435,0.04166620806964004,0.3848496733309728,1.924248366654864
primary,0.2,cCRE_dELS,11907776,3146126,0.14893283638091903,0.19674600395227257,0.26420769084000234,1.321038454200012
primary,0.2,cCRE_CA-H3K4me3,720177,187686,0.009007391750256397,0.011737123846211572,0.2606109331456017,1.3030546657280087
primary,0.2,cCRE_CA,2287833,556447,0.02861436576031218,0.0347979463191335,0.24322011265682417,1.2161005632841206
primary,0.2,cCRE_TF,477210,90544,0.0059685569202291315,0.005662255797083323,0.18973617484964692,0.9486808742482346
primary,0.2,cCRE_CA-CTCF,1026053,256641,0.012833041498861846,0.016049290842234283,0.2501245062389565,1.2506225311947823
primary,0.2,cCRE_pELS,1658540,439928,0.020743677614628413,0.027511319008429846,0.2652501597790828,1.326250798895414
primary,0.2,cCRE_PLS,426429,150712,0.005333429221802536,0.009424919328613952,0.3534281205077516,1.767140602538758
primary,0.2,cCRE_CA-TF,184006,44509,0.002301398304024814,0.0027834129624534107,0.24188885145049618,1.209444257252481
baseline,0.01,gene_body,56672782,662417,0.7088173449733597,0.8285390869293309,0.011688450374643687,1.1689035162654926
baseline,0.01,TSS_plus_minus_1kb,7082760,158330,0.08858543662605999,0.198036272670419,0.022354279969955215,2.235539838296184
baseline,0.01,exon,5976052,308561,0.07474362758586187,0.385942464040025,0.05163291751812066,5.163550077853433
baseline,0.01,CDS,1361168,194544,0.01702438902368862,0.24333208255159475,0.1429243120614061,14.293146274618714
baseline,0.01,five_prime_utr,495804,22788,0.006201115641493859,0.02850281425891182,0.04596171067599293,4.596401019872844
baseline,0.01,three_prime_utr,1731263,105104,0.02165323811191435,0.13146216385240775,0.060709435828063096,6.071247319821084
baseline,0.01,cCRE_dELS,11907776,262042,0.14893283638091903,0.3277573483427142,0.0220059564439237,2.200705742986211
baseline,0.01,cCRE_CA-H3K4me3,720177,17083,0.009007391750256397,0.021367104440275172,0.023720557585149207,2.372174435475947
baseline,0.01,cCRE_CA,2287833,36650,0.02861436576031218,0.0458411507191995,0.01601952590071041,1.6020327377928707
baseline,0.01,cCRE_TF,477210,4172,0.0059685569202291315,0.005218261413383365,0.008742482345298716,0.8742919742789413
baseline,0.01,cCRE_CA-CTCF,1026053,17154,0.012833041498861846,0.02145590994371482,0.016718434622772897,1.6719271067281853
baseline,0.01,cCRE_pELS,1658540,38539,0.020743677614628413,0.04820387742338962,0.023236702159730848,2.3237864721439903
baseline,0.01,cCRE_PLS,426429,22511,0.005333429221802536,0.028156347717323327,0.05278956168553264,5.2792202814322415
baseline,0.01,cCRE_CA-TF,184006,3219,0.002301398304024814,0.004026266416510319,0.0174939947610404,1.7494870007807684
baseline,0.05,gene_body,56672782,3162263,0.7088173449733597,0.7910205868374315,0.055798619520742776,1.1159723904148555
baseline,0.05,TSS_plus_minus_1kb,7082760,639733,0.08858543662605999,0.16002526452710308,0.0903225578729196,1.806451157458392
baseline,0.05,exon,5976052,1064502,0.07474362758586187,0.2662786102008655,0.17812796809666315,3.5625593619332636
baseline,0.05,CDS,1361168,599624,0.01702438902368862,0.14999224554118618,0.44052166962491035,8.810433392498206
baseline,0.05,five_prime_utr,495804,77278,0.006201115641493859,0.01933061510368462,0.15586401077845277,3.1172802155690555
baseline,0.05,three_prime_utr,1731263,331860,0.02165323811191435,0.08301273232108462,0.19168664726272092,3.833732945254418
baseline,0.05,cCRE_dELS,11907776,1064644,0.14893283638091903,0.26631413062510945,0.08940745946178363,1.7881491892356727
baseline,0.05,cCRE_CA-H3K4me3,720177,61626,0.009007391750256397,0.015415363834204669,0.08557063055332231,1.7114126110664463
baseline,0.05,cCRE_CA,2287833,172363,0.02861436576031218,0.043115541436325885,0.07533897797610227,1.5067795595220455
baseline,0.05,cCRE_TF,477210,19946,0.0059685569202291315,0.004989368887110089,0.041797112382389305,0.8359422476477861
baseline,0.05,cCRE_CA-CTCF,1026053,82641,0.012833041498861846,0.020672136478475125,0.08054262304188965,1.610852460837793
baseline,0.05,cCRE_pELS,1658540,159786,0.020743677614628413,0.03996948245241014,0.09634136047366962,1.9268272094733923
baseline,0.05,cCRE_PLS,426429,69155,0.005333429221802536,0.017298696750631615,0.16217236632593,3.2434473265186003
baseline,0.05,cCRE_CA-TF,184006,15327,0.002301398304024814,0.0038339545238512142,0.08329619686314577,1.6659239372629153
baseline,0.1,gene_body,56672782,5985792,0.7088173449733597,0.7486544763238863,0.10562022524322169,1.056202252432217
baseline,0.1,TSS_plus_minus_1kb,7082760,974073,0.08858543662605999,0.12182917677664658,0.1375273198583603,1.375273198583603
baseline,0.1,exon,5976052,1327908,0.07474362758586187,0.16608399829902193,0.22220489379945155,2.2220489379945154
baseline,0.1,CDS,1361168,638794,0.01702438902368862,0.07989518973409711,0.4692984260576211,4.692984260576211
baseline,0.1,five_prime_utr,495804,101642,0.006201115641493859,0.012712559721840058,0.2050043968987745,2.050043968987745
baseline,0.1,three_prime_utr,1731263,405453,0.02165323811191435,0.050710783700627864,0.23419492012478751,2.3419492012478753
baseline,0.1,cCRE_dELS,11907776,1623846,0.14893283638091903,0.2030975310803712,0.136368537668159,1.3636853766815902
baseline,0.1,cCRE_CA-H3K4me3,720177,96329,0.009007391750256397,0.012048052630262401,0.13375739575132226,1.3375739575132226
baseline,0.1,cCRE_CA,2287833,284349,0.02861436576031218,0.03556407434274708,0.1242874807732907,1.242874807732907
baseline,0.1,cCRE_TF,477210,46646,0.0059685569202291315,0.005834104610150837,0.09774732298149662,0.9774732298149662
baseline,0.1,cCRE_CA-CTCF,1026053,131799,0.012833041498861846,0.01648435350326438,0.12845242887063338,1.284524288706334
baseline,0.1,cCRE_pELS,1658540,240992,0.020743677614628413,0.03014133126547765,0.1453037008453218,1.4530370084532178
baseline,0.1,cCRE_PLS,426429,87047,0.005333429221802536,0.010887135102684043,0.2041301131020639,2.041301131020639
baseline,0.1,cCRE_CA-TF,184006,23475,0.002301398304024814,0.0029360632363609074,0.12757736160777366,1.2757736160777366
baseline,0.2,gene_body,56672782,11614929,0.7088173449733597,0.7263507141606423,0.2049472178725936,1.0247360893629678
baseline,0.2,TSS_plus_minus_1kb,7082760,1659050,0.08858543662605999,0.10375028141181179,0.23423778301114254,1.1711889150557127
baseline,0.2,exon,5976052,1847266,0.07474362758586187,0.11552054931585662,0.3091114334346488,1.5455571671732442
baseline,0.2,CDS,1361168,721913,0.01702438902368862,0.04514552117467544,0.5303628942202578,2.6518144711012894
baseline,0.2,five_prime_utr,495804,143377,0.006201115641493859,0.008966218075393351,0.2891808053182306,1.445904026591153
baseline,0.2,three_prime_utr,1731263,554030,0.02165323811191435,0.03464679690822223,0.32001492551969285,1.600074627598464
baseline,0.2,cCRE_dELS,11907776,2775133,0.14893283638091903,0.1735456012207019,0.23305216692017047,1.1652608346008524
baseline,0.2,cCRE_CA-H3K4me3,720177,166330,0.009007391750256397,0.010401605923405959,0.23095711193220556,1.154785559661028
baseline,0.2,cCRE_CA,2287833,506457,0.02861436576031218,0.0316717737699177,0.2213697415851594,1.106848707925797
baseline,0.2,cCRE_TF,477210,92414,0.0059685569202291315,0.005779198038872352,0.19365478510509002,0.9682739255254501
baseline,0.2,cCRE_CA-CTCF,1026053,230940,0.012833041498861846,0.014442054181154164,0.22507609256052075,1.1253804628026038
baseline,0.2,cCRE_pELS,1658540,398074,0.020743677614628413,0.024893939014933586,0.24001471173441702,1.200073558672085
baseline,0.2,cCRE_PLS,426429,124598,0.005333429221802536,0.007791855316807164,0.29218932108275936,1.460946605413797
baseline,0.2,cCRE_CA-TF,184006,39821,0.002301398304024814,0.0024902443905245515,0.21641142136669456,1.0820571068334728
