context_bp,subset,value,se,n,n_pos,n_chrom,c_min,c_med,c_max,full_c,n_at_low_edge,n_at_high_edge,low_edge_gain,high_edge_gain,at_edge,truncation_risk,dataset,split,regime
1023,missense_variant,0.16900568,0.010993148,5800,580,12,0.001,0.001,0.001,0.001,0,0,0,-0.00030999408,False,False,mendelian_traits,train,inference extension
31,non_coding_transcript_exon_variant,0.44516918,0.074415592,1150,115,12,1e-12,5.5e-07,1e-05,1e-05,2,0,0.0031150275,-0.0077793412,True,False,mendelian_traits,train,context reduction
63,non_coding_transcript_exon_variant,0.40651163,0.057814091,1150,115,12,1e-10,0.0001,0.001,0.0001,0,0,0.0021751194,-0.0029339764,False,False,mendelian_traits,train,context reduction
127,non_coding_transcript_exon_variant,0.40974843,0.08432015,1150,115,12,1e-08,0.0001,1000,0.0001,0,0,0,-0.0044438106,False,False,mendelian_traits,train,context reduction
255,non_coding_transcript_exon_variant,0.40240698,0.078403652,1150,115,12,1e-12,1e-06,0.001,1e-06,1,0,0.0041289892,-0.00074170909,True,False,mendelian_traits,train,training context
511,non_coding_transcript_exon_variant,0.43943675,0.069618607,1150,115,12,1e-11,1e-09,10,1e-11,0,0,-0.00055116035,-0.00016388275,False,False,mendelian_traits,train,inference extension
1023,non_coding_transcript_exon_variant,0.11210589,0.0068367058,1150,115,12,0.0001,0.01,10000,10,0,1,0,-0.00031573088,True,False,mendelian_traits,train,inference extension
31,splicing,0.30486497,0.019897923,3190,319,12,0.001,0.0055,0.01,0.001,0,0,0,-0.00045908679,False,False,mendelian_traits,train,context reduction
63,splicing,0.49510995,0.039669251,3190,319,12,0.001,0.001,0.01,0.001,0,0,0,-0.0038930125,False,False,mendelian_traits,train,context reduction
127,splicing,0.60700641,0.035807477,3190,319,12,0.001,0.001,0.01,0.001,0,0,0.0034311224,-0.0019581294,False,False,mendelian_traits,train,context reduction
255,splicing,0.55185945,0.032284219,3190,319,12,0.001,0.01,0.01,0.01,0,0,0.00303625,-0.0096920675,False,False,mendelian_traits,train,training context
511,splicing,0.52274375,0.043902226,3190,319,12,0.001,0.001,0.01,0.001,0,0,0.0030117036,-0.003494437,False,False,mendelian_traits,train,inference extension
1023,splicing,0.16296648,0.011751838,3190,319,12,1e-05,0.001,0.001,0.001,0,0,0,0.0011209128,False,False,mendelian_traits,train,inference extension
31,synonymous_variant,0.29200771,0.038116515,460,46,10,0.01,10000,10000,10000,0,6,0,7.2597111e-05,True,False,mendelian_traits,train,context reduction
63,synonymous_variant,0.33413208,0.047745598,460,46,10,0.0001,1000,10000,1000,0,3,0,-3.8983917e-05,True,False,mendelian_traits,train,context reduction
127,synonymous_variant,0.47956352,0.049188352,460,46,10,100,100,10000,10000,0,1,0,0.0018187704,True,False,mendelian_traits,train,context reduction
255,synonymous_variant,0.48226075,0.05518421,460,46,10,100,1000,10000,1000,0,1,0,-0.0062420122,True,False,mendelian_traits,train,training context
511,synonymous_variant,0.47618923,0.068205549,460,46,10,0.001,1000,10000,100,0,1,0,-0.0013542312,True,False,mendelian_traits,train,inference extension
1023,synonymous_variant,0.19432069,0.021974836,460,46,10,1e-07,0.0001,1,0.0001,0,0,0,2.2972917e-06,False,False,mendelian_traits,train,inference extension
31,tss_proximal,0.29337609,0.077946338,2050,205,12,0.0001,0.0001,0.001,0.0001,0,0,0,-0.0015023262,False,False,mendelian_traits,train,context reduction
63,tss_proximal,0.34210454,0.082309891,2050,205,12,0.0001,0.001,0.001,0.001,0,0,0,0.0026449025,False,False,mendelian_traits,train,context reduction
127,tss_proximal,0.34006723,0.08810686,2050,205,12,0.0001,0.0001,0.001,0.0001,0,0,0,0.0032066889,False,False,mendelian_traits,train,context reduction
255,tss_proximal,0.32323459,0.089202718,2050,205,12,0.0001,0.0001,1000,0.0001,0,0,0,0.0020375461,False,False,mendelian_traits,train,training context
511,tss_proximal,0.39783055,0.073636407,2050,205,12,0.001,0.001,0.01,0.001,0,0,0,-0.0014032627,False,False,mendelian_traits,train,inference extension
1023,tss_proximal,0.11322865,0.0068389101,2050,205,12,1e-10,1e-09,100,1e-10,0,0,0,-0.00039940831,False,False,mendelian_traits,train,inference extension
