accession	tax_id	species	order	assembly_name	assembly_level	contig_n50	total_length	release_date	annotation_name	source_database	datasets_version	retrieved_at	download_uri	source_checksum_type	source_checksum	source_size_bytes	sequence_sha256	fallback_needed	selected	selection_reason
GCF_033115175.1	9983	Lepus europaeus	Lagomorpha	mLepTim1.pri	Chromosome	43409466	2930954587	2023-10-31	GCF_033115175.1-RS_2024_01	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_019393635.1	33562	Dromiciops gliroides	Microbiotheria	mDroGli1.pri	Chromosome	38230856	3303199800	2021-08-03	NCBI Dromiciops gliroides Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_015852505.1	9261	Tachyglossus aculeatus	Monotremata	mTacAcu1.pri	Chromosome	19859057	2213004214	2020-12-09	NCBI Tachyglossus aculeatus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_037893015.1	92651	Macrotis lagotis	Peramelemorphia	bilby.v1.9.chrom.fasta	Chromosome	1227456	3655715178	2024-04-04	GCF_037893015.1-RS_2025_05	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_041296235.1	9793	Equus asinus	Perissodactyla	EquAss-T2T_v2	Chromosome	102829910	2797756172	2024-12-12	GCF_041296235.1-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_040802235.1	9974	Manis javanica	Pholidota	MJ_LKY	Chromosome	61244301	2559979548	2024-07-22	GCF_040802235.1-RS_2025_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_015220235.1	27675	Choloepus didactylus	Pilosa	mChoDid1.pri	Chromosome	20994632	3214686105	2020-11-03	NCBI Choloepus didactylus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_000001405.40	9606	Homo sapiens	Primates	GRCh38.p14	Chromosome	57879411	3099441038	2022-02-03	GCF_000001405.40-RS_2025_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	forced human or mouse
GCF_024166365.1	99487	Elephas maximus indicus	Proboscidea	mEleMax1 primary haplotype	Chromosome	87987108	3401247148	2022-07-06	GCF_024166365.1-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_000001635.27	10090	Mus musculus	Rodentia	GRCm39	Chromosome	59462871	2728206152	2020-06-24	GCF_000001635.27-RS_2024_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	forced human or mouse
