accession	tax_id	species	order	assembly_name	assembly_level	contig_n50	total_length	release_date	annotation_name	source_database	datasets_version	retrieved_at	download_uri	source_checksum_type	source_checksum	source_size_bytes	sequence_sha256	fallback_needed	selected	selection_reason
GCF_000754665.1	43346	Bison bison bison	Artiodactyla	Bison_UMD1.0	Scaffold	19971	2828015366	2014-10-08	NCBI Bison bison bison Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_055505025.1	30521	Bos grunniens	Artiodactyla	Bosgru_T2T1.0	Chromosome	93513064	2659477751	2026-02-25	GCF_055505025.1-RS_2026_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_029378745.1	9915	Bos indicus	Artiodactyla	NIAB-ARS_B.indTharparkar_mat_pri_1.0	Chromosome	42080189	2663005763	2023-03-24	GCF_029378745.1-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_032452875.1	9906	Bos javanicus	Artiodactyla	ARS-OSU_banteng_1.0	Chromosome	47146240	2972795249	2023-10-11	GCF_032452875.1-RS_2023_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_027580195.1	72004	Bos mutus	Artiodactyla	NWIPB_WYAK_1.1	Chromosome	38284421	2626900860	2023-01-09	GCF_027580195.1-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_002263795.3	9913	Bos taurus	Artiodactyla	ARS-UCD2.0	Chromosome	26402946	2770669782	2023-07-01	GCF_002263795.3-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_019923935.1	89462	Bubalus bubalis	Artiodactyla	NDDB_SH_1	Chromosome	9586610	2622444281	2021-09-10	NCBI Bubalus bubalis Annotation Release 103	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_029407905.1	3119969	Bubalus kerabau	Artiodactyla	PCC_UOA_SB_1v2	Chromosome	91172394	2898492518	2023-03-31	GCF_029407905.1-RS_2024_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_023091745.1	37181	Budorcas taxicolor	Artiodactyla	Takin1.1	Chromosome	68053581	2851638285	2022-04-22	GCF_023091745.1-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_048773025.1	9837	Camelus bactrianus	Artiodactyla	ASM4877302v1	Chromosome	54723239	2473901565	2025-03-21	GCF_048773025.1-RS_2025_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_036321535.1	9838	Camelus dromedarius	Artiodactyla	mCamDro1.pat	Chromosome	31216184	2306603094	2024-01-31	GCF_036321535.1-RS_2024_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_009834535.1	419612	Camelus ferus	Artiodactyla	BCGSAC_Cfer_1.0	Chromosome	5365398	2087077296	2020-01-08	NCBI Camelus ferus Annotation Release 102	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_001704415.2	9925	Capra hircus	Artiodactyla	ARS1.2	Chromosome	26244591	2922600443	2016-08-24	NCBI Capra hircus Annotation Release 102	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_032405125.1	34865	Capricornis sumatraensis	Artiodactyla	serow.2	Chromosome	100934918	2828266837	2024-03-13	GCF_032405125.1-RS_2024_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_019320065.1	1574408	Cervus canadensis	Artiodactyla	ASM1932006v1	Chromosome	914577	2526613007	2021-07-26	NCBI Cervus canadensis Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_910594005.1	9860	Cervus elaphus	Artiodactyla	mCerEla1.1	Chromosome	68741660	2886603524	2021-07-07	NCBI Cervus elaphus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_033118175.1	30532	Dama dama	Artiodactyla	ASM3311817v2	Chromosome	68791581	3104280228	2023-11-02	GCF_033118175.1-RS_2023_11	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_002288925.2	9749	Delphinapterus leucas	Artiodactyla	ASM228892v3	Scaffold	196689	2362758273	2019-08-29	NCBI Delphinapterus leucas Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_949987515.2	9728	Delphinus delphis	Artiodactyla	mDelDel1.2	Chromosome	3627551	2663516986	2024-09-07	GCF_949987515.2-RS_2024_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_028021215.1	9764	Eschrichtius robustus	Artiodactyla	mEscRob2.pri	Chromosome	39209000	2982418581	2023-01-31	GCF_028021215.1-RS_2024_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_028564815.1	27606	Eubalaena glacialis	Artiodactyla	mEubGla1.1.hap2.+ XY	Chromosome	37467374	2843675187	2023-02-09	GCF_028564815.1-RS_2023_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_963455315.2	9731	Globicephala melas	Artiodactyla	mGloMel1.2	Chromosome	3290841	2651276051	2024-09-07	GCF_963455315.2-RS_2024_11	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_964374135.1	83653	Grampus griseus	Artiodactyla	mGraGri1.hap1.1	Chromosome	3106000	2667065542	2024-11-29	GCF_964374135.1-RS_2025_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_030028045.1	575201	Hippopotamus amphibius kiboko	Artiodactyla	mHipAmp2.hap2	Chromosome	50348260	2538242855	2023-05-18	GCF_030028045.1-RS_2023_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_949752795.1	48744	Hyperoodon ampullatus	Artiodactyla	mHypAmp2.1	Chromosome	3126546	2828744367	2023-03-31	GCF_949752795.1-RS_2025_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_026419965.1	27615	Kogia breviceps	Artiodactyla	mKogBre1 haplotype 1	Chromosome	42780423	2555838840	2022-11-27	GCF_026419965.1-RS_2024_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_949774975.1	27610	Lagenorhynchus albirostris	Artiodactyla	mLagAlb1.1	Chromosome	3398034	2544819402	2023-04-08	GCF_949774975.1-RS_2023_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_964270905.1	3371109	Leucopleurus acutus	Artiodactyla	mLagAcu1.hap1.1	Chromosome	3493168	2676193030	2024-09-29	GCF_964270905.1-RS_2025_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_000442215.2	118797	Lipotes vexillifer	Artiodactyla	Lipotes_vexillifer_v1.1	Scaffold	32029	2419479385	2013-07-24	GCF_000442215.2-RS_2026_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_964165515.1	48745	Mesoplodon bidens	Artiodactyla	mMesBid2.hap1.1	Chromosome	3140665	2999082157	2024-06-06	GCF_964165515.1-RS_2025_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_025265405.1	48708	Mesoplodon densirostris	Artiodactyla	mMesDen1 primary haplotype	Chromosome	48253041	2683375131	2022-09-19	GCF_025265405.1-RS_2023_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_964341445.1	52113	Mesoplodon mirus	Artiodactyla	mMesMir1.hap1.1	Chromosome	3298322	3442403058	2024-11-28	GCF_964341445.1-RS_2025_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_005190385.1	40151	Monodon monoceros	Artiodactyla	NGI_Narwhal_1	Scaffold	255327	2355574979	2019-05-06	NCBI Monodon monoceros Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_022376915.1	68408	Moschus berezovskii	Artiodactyla	ASM2237691v1	Scaffold	15241556	2813355390	2022-02-23	GCF_022376915.1-RS_2023_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_963930625.1	9886	Muntiacus reevesi	Artiodactyla	mMunRee1.1	Chromosome	5780196	2656168540	2024-01-31	GCF_963930625.1-RS_2024_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_003031525.2	1706337	Neophocaena asiaeorientalis asiaeorientalis	Artiodactyla	Neophocaena_asiaeorientalis_V1.1	Scaffold	86003	2284609912	2018-04-03	GCF_003031525.2-RS_2026_05	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_023699985.2	9874	Odocoileus virginianus	Artiodactyla	Ovbor_1.2	Chromosome	21769372	2423246854	2024-10-17	GCF_023699985.2-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_937001465.1	9733	Orcinus orca	Artiodactyla	mOrcOrc1.1	Chromosome	45583382	2647335075	2022-05-03	GCF_937001465.1-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_014754425.2	59534	Oryx dammah	Artiodactyla	SCBI_Odam_1.1	Scaffold	374342	2707165964	2020-09-25	NCBI Oryx dammah Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_016772045.2	9940	Ovis aries	Artiodactyla	ARS-UI_Ramb_v3.0	Chromosome	43178051	2654047367	2023-07-20	GCF_016772045.2-RS_2023_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_042477335.2	37174	Ovis canadensis	Artiodactyla	ARS-UI_OviCan_v2	Chromosome	105224494	2974267070	2024-10-18	GCF_042477335.2-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_016906955.1	41426	Phacochoerus africanus	Artiodactyla	ROS_Pafr_v1	Chromosome	10602503	2435083091	2021-02-19	GCF_016906955.1-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_963924675.1	9742	Phocoena phocoena	Artiodactyla	mPhoPho1.1	Chromosome	3726689	2512713112	2024-01-29	GCF_963924675.1-RS_2024_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_008692025.1	42100	Phocoena sinus	Artiodactyla	mPhoSin1.pri	Chromosome	20218762	2371524154	2019-09-26	NCBI Phocoena sinus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_002837175.3	9755	Physeter macrocephalus	Artiodactyla	ASM283717v5	Chromosome	42877	2496209109	2023-02-28	GCF_002837175.3-RS_2025_01	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_039906515.1	82174	Pseudorca crassidens	Artiodactyla	mPseCra1.hap1	Chromosome	58817648	2674592094	2024-05-31	GCF_039906515.1-RS_2024_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_951394435.1	9737	Stenella coeruleoalba	Artiodactyla	mSteCoe1.1	Chromosome	3590204	2691406842	2023-06-16	GCF_951394435.1-RS_2025_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_054392235.1	9823	Sus scrofa	Artiodactyla	Sscrofa_HxYL_maternal_Yorkshire_Landrace_v2.0	Chromosome	145095113	2656429699	2026-01-28	GCF_054392235.1-RS_2026_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_011762595.2	9739	Tursiops truncatus	Artiodactyla	mTurTru1.mat.Y	Chromosome	9729386	2378505825	2024-12-12	GCF_011762595.2-RS_2025_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_048564905.1	30538	Vicugna pacos	Artiodactyla	VicPac4	Chromosome	40278543	2572244716	2025-03-12	GCF_048564905.1-RS_2025_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_020171115.1	452646	Neogale vison	Carnivora	ASM_NN_V1	Chromosome	220349319	2681198719	2021-09-29	NCBI Neovison vison Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_027475565.1	32536	Acinonyx jubatus	Carnivora	VMU_Ajub_asm_v1.0	Chromosome	96827784	2377417351	2022-12-28	GCF_027475565.1-RS_2023_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_002007445.2	9646	Ailuropoda melanoleuca	Carnivora	ASM200744v3	Chromosome	127687	2440260518	2020-04-20	GCF_002007445.2-RS_2026_05	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_003265705.2	34884	Callorhinus ursinus	Carnivora	GSC_fseal_2.0	Scaffold	161048	2443852073	2025-02-03	GCF_003265705.2-RS_2025_05	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_053574225.1	68724	Canis aureus	Carnivora	VMU_Caureus_v.1.0	Chromosome	56644425	2529837068	2025-11-21	GCF_053574225.1-RS_2025_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_048164855.1	143281	Canis lupus baileyi	Carnivora	mCanLup2.hap1	Chromosome	31962680	2495589887	2025-02-27	GCF_048164855.1-RS_2025_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_011100685.1	9615	Canis lupus familiaris	Carnivora	UU_Cfam_GSD_1.0	Chromosome	14840767	2481983352	2020-03-10	NCBI Canis lupus familiaris Annotation Release 106	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_008692635.1	9678	Crocuta crocuta	Carnivora	BGI_CrCroc_1.0	Scaffold	97873	2348360376	2019-09-24	GCF_008692635.1-RS_2025_11	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_002288905.1	391180	Enhydra lutris kenyoni	Carnivora	ASM228890v2	Scaffold	244548	2455260235	2017-09-11	NCBI Enhydra lutris kenyoni Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_004028035.1	34886	Eumetopias jubatus	Carnivora	ASM402803v1	Scaffold	242372	2418246527	2019-01-15	NCBI Eumetopias jubatus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_018350175.1	9685	Felis catus	Carnivora	F.catus_Fca126_mat1.0	Chromosome	90731473	2425730029	2021-05-13	NCBI Felis catus Annotation Release 105	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_964656455.1	9711	Halichoerus grypus	Carnivora	mHalGry1.hap1.1	Chromosome	3750431	2400061917	2025-01-02	GCF_964656455.1-RS_2025_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_014898765.1	1608482	Herpailurus yagouaroundi	Carnivora	PumYag	Scaffold	100211	2473123098	2020-10-20	GCF_014898765.1-RS_2025_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_003009895.1	95912	Hyaena hyaena	Carnivora	ASM300989v1	Scaffold	311202	2374716107	2018-03-19	NCBI Hyaena hyaena Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_054177405.1	9713	Leptonychotes weddellii	Carnivora	ASM5417740v2	Chromosome	46856	2401725666	2025-12-24	GCF_054177405.1-RS_2026_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_010015895.1	76717	Lontra canadensis	Carnivora	GSC_riverotter_1.0	Scaffold	691969	2405748306	2020-01-27	NCBI Lontra canadensis Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_902655055.1	9657	Lutra lutra	Carnivora	mLutLut1.2	Chromosome	30403456	2438442342	2020-07-31	GCF_902655055.1-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_007474595.2	61383	Lynx canadensis	Carnivora	mLynCan4.pri.v2	Chromosome	7503561	2407810255	2020-07-14	NCBI Lynx canadensis Annotation Release 102	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_022079265.1	61384	Lynx rufus	Carnivora	mLynRuf1.p	Scaffold	66217191	2439239374	2022-02-08	GCF_022079265.1-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_963455335.1	29065	Martes martes	Carnivora	mMarMar1.1	Chromosome	1599794	2484633589	2023-09-14	GCF_963455335.1-RS_2025_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_922984935.2	9662	Meles meles	Carnivora	mMelMel3.2 paternal haplotype	Chromosome	75210923	2738678004	2022-03-23	GCF_922984935.2-RS_2026_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_029215605.1	9716	Mirounga angustirostris	Carnivora	mMirAng1.0.hap1	Scaffold	58074836	2430305188	2023-03-14	GCF_029215605.1-RS_2024_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_011800145.1	9715	Mirounga leonina	Carnivora	KU_Mleo_1.0	Scaffold	197952	2417303335	2020-03-31	NCBI Mirounga leonina Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_009829155.1	36723	Mustela erminea	Carnivora	mMusErm1.Pri	Chromosome	36329944	2445200799	2020-01-03	NCBI Mustela erminea Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_030435805.1	9666	Mustela lutreola	Carnivora	mMusLut2.pri	Chromosome	83356672	2586268927	2023-07-13	GCF_030435805.1-RS_2023_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_022355385.1	77151	Mustela nigripes	Carnivora	MUSNIG.SB6536	Chromosome	148763	2498532951	2022-02-24	GCF_022355385.1-RS_2023_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_964662115.1	36239	Mustela nivalis	Carnivora	mMusNiv2.hap1.1	Chromosome	1161649	3437857113	2024-12-23	GCF_964662115.1-RS_2025_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_011764305.1	9669	Mustela putorius furo	Carnivora	ASM1176430v1.1	Contig	23598655	2577090966	2020-03-27	NCBI Mustela putorius furo Annotation Release 102	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_028018385.1	61452	Neofelis nebulosa	Carnivora	mNeoNeb1.pri	Chromosome	51579577	2468345093	2023-01-31	GCF_028018385.1-RS_2023_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_002201575.2	29088	Neomonachus schauinslandi	Carnivora	ASM220157v2	Chromosome	181061	2419443398	2021-10-20	NCBI Neomonachus schauinslandi Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_905146905.1	34880	Nyctereutes procyonoides	Carnivora	NYPRO_anot_genome	Scaffold	35077230	2387080870	2021-02-14	GCF_905146905.1-RS_2023_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_000321225.1	9708	Odobenus rosmarus divergens	Carnivora	Oros_1.0	Scaffold	89951	2400133628	2013-01-16	NCBI Odobenus rosmarus divergens Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
