Assembly Accession	Organism Name	order	class	phylum	Assembly Level	Assembly Stats Total Sequence Length
GCF_000710305.1	Buceros rhinoceros silvestris	Bucerotiformes	Aves	Chordata	Scaffold	1065782791
GCF_000700745.2	Antrostomus carolinensis	Caprimulgiformes	Aves	Chordata	Scaffold	1118829799
GCF_000690535.1	Cariama cristata	Cariamiformes	Aves	Chordata	Scaffold	1132245425
GCF_036370855.1	Dromaius novaehollandiae	Casuariiformes	Aves	Chordata	Chromosome	1468706110
GCF_964106895.1	Numenius arquata	Charadriiformes	Aves	Chordata	Chromosome	1348859203
GCF_034638445.1	Ciconia boyciana	Ciconiiformes	Aves	Chordata	Chromosome	1240615254
GCF_028858725.1	Colius striatus	Coliiformes	Aves	Chordata	Chromosome	1212464869
GCF_036013445.1	Caloenas nicobarica	Columbiformes	Aves	Chordata	Chromosome	1285834579
GCF_000691845.1	Merops nubicus	Coraciiformes	Aves	Chordata	Scaffold	1062961556
GCF_017976375.1	Cuculus canorus	Cuculiformes	Aves	Chordata	Chromosome	1180136575
GCF_000690775.1	Eurypyga helias	Eurypygiformes	Aves	Chordata	Scaffold	1088019637
GCF_015220075.1	Falco rusticolus	Falconiformes	Aves	Chordata	Chromosome	1195829278
GCF_016699485.2	Gallus gallus	Galliformes	Aves	Chordata	Chromosome	1053315467
GCF_030936135.1	Gavia stellata	Gaviiformes	Aves	Chordata	Chromosome	1321270170
GCF_011004875.1	Balearica regulorum gibbericeps	Gruiformes	Aves	Chordata	Chromosome	1221032548
GCF_000691785.1	Leptosomus discolor	Leptosomiformes	Aves	Chordata	Scaffold	1136244952
GCF_000695765.1	Mesitornis unicolor	Mesitornithiformes	Aves	Chordata	Scaffold	1087290853
GCF_000709365.1	Tauraco erythrolophus	Musophagiformes	Aves	Chordata	Scaffold	1155540733
GCF_013368605.1	Nyctibius grandis	Nyctibiiformes	Aves	Chordata	Chromosome	1256393467
GCF_030867145.1	Opisthocomus hoazin	Opisthocomiformes	Aves	Chordata	Chromosome	1482459898
GCF_000695195.1	Chlamydotis macqueenii	Otidiformes	Aves	Chordata	Scaffold	1086566339
GCF_001522545.3	Parus major	Passeriformes	Aves	Chordata	Chromosome	1020293992
GCF_030463565.1	Pelecanus crispus	Pelecaniformes	Aves	Chordata	Chromosome	1314568463
GCF_000687285.1	Phaethon lepturus	Phaethontiformes	Aves	Chordata	Scaffold	1152958507
GCF_027791375.1	Indicator indicator	Piciformes	Aves	Chordata	Chromosome	1147325966
GCF_964195595.1	Calonectris borealis	Procellariiformes	Aves	Chordata	Chromosome	1366185058
GCF_004027225.2	Strigops habroptila	Psittaciformes	Aves	Chordata	Chromosome	1148597545
GCF_000699245.1	Pterocles gutturalis	Pterocliformes	Aves	Chordata	Scaffold	1069324295
GCF_028389875.1	Rhea pennata	Rheiformes	Aves	Chordata	Chromosome	1269000025
GCF_965638725.1	Aptenodytes patagonicus	Sphenisciformes	Aves	Chordata	Chromosome	1352580174
GCF_965140245.1	Athene noctua	Strigiformes	Aves	Chordata	Chromosome	1355857592
GCF_040807025.1	Struthio camelus	Struthioniformes	Aves	Chordata	Chromosome	1452018929
GCF_949628215.1	Phalacrocorax aristotelis	Suliformes	Aves	Chordata	Chromosome	1279116138
GCF_003342845.1	Nothoprocta perdicaria	Tinamiformes	Aves	Chordata	Scaffold	965904370
GCF_000703405.1	Apaloderma vittatum	Trogoniformes	Aves	Chordata	Scaffold	1070836417
GCF_035084215.1	Heptranchias perlo	Hexanchiformes	Chondrichthyes	Chordata	Chromosome	3249915908
GCF_963921235.1	Mobula hypostoma	Myliobatiformes	Chondrichthyes	Chordata	Chromosome	3475679493
GCF_021869965.1	Rhincodon typus	Orectolobiformes	Chondrichthyes	Chordata	Chromosome	2881325413
GCF_028641065.1	Leucoraja erinaceus	Rajiformes	Chondrichthyes	Chordata	Chromosome	2190844947
GCF_009764475.1	Pristis pectinata	Rhinopristiformes	Chondrichthyes	Chordata	Chromosome	2267840987
GCF_036971445.1	Narcine bancroftii	Torpediniformes	Chondrichthyes	Chordata	Chromosome	3328432768
GCF_900747795.2	Erpetoichthys calabaricus	Polypteriformes	Cladistia	Chordata	Chromosome	3613534470
GCF_015708825.1	Lethenteron reissneri	Petromyzontiformes	Hyperoartia	Chordata	Chromosome	1063012140
GCF_009819535.1	Lacerta agilis	Squamata	Lepidosauria	Chordata	Chromosome	1391387079
GCF_035083965.1	Branchiostoma lanceolatum	Amphioxiformes	Leptocardii	Chordata	Chromosome	458287516
GCF_050624435.1	Tenrec ecaudatus	Afrosoricida	Mammalia	Chordata	Chromosome	3922859826
GCF_009834535.1	Camelus ferus	Artiodactyla	Mammalia	Chordata	Chromosome	2087077296
GCF_018350215.1	Panthera leo	Carnivora	Mammalia	Chordata	Chromosome	2297552363
GCF_027574615.1	Eptesicus fuscus	Chiroptera	Mammalia	Chordata	Chromosome	2008057866
GCF_030445035.2	Dasypus novemcinctus	Cingulata	Mammalia	Chordata	Chromosome	3610534858
GCF_902635505.1	Sarcophilus harrisii	Dasyuromorphia	Mammalia	Chordata	Chromosome	3086657325
GCF_027409185.1	Cynocephalus volans	Dermoptera	Mammalia	Chordata	Chromosome	2814418120
GCF_027887165.1	Monodelphis domestica	Didelphimorphia	Mammalia	Chordata	Chromosome	3586166573
GCF_011100635.1	Trichosurus vulpecula	Diprotodontia	Mammalia	Chordata	Chromosome	3359330516
GCF_027595985.1	Sorex araneus	Eulipotyphla	Mammalia	Chordata	Chromosome	2405993548
GCF_030435755.1	Ochotona princeps	Lagomorpha	Mammalia	Chordata	Chromosome	2555444530
GCF_000299155.1	Elephantulus edwardii	Macroscelidea	Mammalia	Chordata	Scaffold	3843982861
GCF_019393635.1	Dromiciops gliroides	Microbiotheria	Mammalia	Chordata	Chromosome	3303199800
GCF_004115215.2	Ornithorhynchus anatinus	Monotremata	Mammalia	Chordata	Chromosome	1859264908
GCF_037893015.1	Macrotis lagotis	Peramelemorphia	Mammalia	Chordata	Chromosome	3655715178
GCF_037783145.1	Equus przewalskii	Perissodactyla	Mammalia	Chordata	Chromosome	2499640368
GCF_040802235.1	Manis javanica	Pholidota	Mammalia	Chordata	Chromosome	2559979548
GCF_023851605.1	Tamandua tetradactyla	Pilosa	Mammalia	Chordata	Chromosome	3205724741
GCF_000001405.40	Homo sapiens	Primates	Mammalia	Chordata	Chromosome	3099441038
GCF_024166365.1	Elephas maximus indicus	Proboscidea	Mammalia	Chordata	Chromosome	3401247148
GCF_000001635.27	Mus musculus	Rodentia	Mammalia	Chordata	Chromosome	2728206152
GCF_000334495.1	Tupaia chinensis	Scandentia	Mammalia	Chordata	Scaffold	2846580235
GCF_000243295.1	Trichechus manatus latirostris	Sirenia	Mammalia	Chordata	Scaffold	3103791524
GCF_040869285.1	Myxine glutinosa	Myxiniformes	Myxini	Chordata	Chromosome	3829258836
GCF_037176945.1	Latimeria chalumnae	Coelacanthiformes		Chordata	Chromosome	2947609019
GCF_030867095.1	Alligator mississippiensis	Crocodylia		Chordata	Chromosome	2346779227
GCF_013100865.1	Trachemys scripta elegans	Testudines		Chordata	Chromosome	2126182493
GCF_932526225.1	Nematostella vectensis	Actiniaria	Anthozoa	Cnidaria	Chromosome	269418438
GCF_004324835.1	Dendronephthya gigantea	Malacalcyonacea	Anthozoa	Cnidaria	Contig	286131786
GCF_964030605.1	Acropora palmata	Scleractinia	Anthozoa	Cnidaria	Chromosome	333946596
GCF_038396675.1	Hydra vulgaris	Anthoathecata	Hydrozoa	Cnidaria	Complete Genome	911675201
GCF_902728285.1	Clytia hemisphaerica	Leptothecata	Hydrozoa	Cnidaria	Scaffold	420978673
GCF_013076305.1	Rhopilema esculentum	Rhizostomeae	Scyphozoa	Cnidaria	Scaffold	256689583
GCF_026151205.1	Bolinopsis microptera	Lobata	Tentaculata	Ctenophora	Chromosome	265435384
GCF_902459465.1	Asterias rubens	Forcipulatida	Asteroidea	Echinodermata	Chromosome	417601740
GCF_001949145.1	Acanthaster planci	Valvatida	Asteroidea	Echinodermata	Scaffold	383843944
GCF_964355755.1	Antedon mediterranea	Comatulida	Crinoidea	Echinodermata	Chromosome	354494601
GCF_000002235.5	Strongylocentrotus purpuratus	Camarodonta	Echinoidea	Echinodermata	Scaffold	921840143
GCF_964275005.1	Diadema setosum	Diadematoida	Echinoidea	Echinodermata	Chromosome	912728646
GCF_037042905.1	Lytechinus pictus	Temnopleuroida	Echinoidea	Echinodermata	Chromosome	811721768
GCF_037975245.1	Apostichopus japonicus	Aspidochirotida	Holothuroidea	Echinodermata	Chromosome	671643915
GCF_039555335.1	Amphiura filiformis	Amphilepidida	Ophiuroidea	Echinodermata	Chromosome	1570979288
GCF_026914265.1	Mya arenaria	Myida	Bivalvia	Mollusca	Chromosome	1216068291
GCF_036588685.1	Mytilus trossulus	Mytilida	Bivalvia	Mollusca	Chromosome	1298571991
GCF_963853765.1	Magallana gigas	Ostreida	Bivalvia	Mollusca	Chromosome	563985803
GCF_041381155.1	Argopecten irradians	Pectinida	Bivalvia	Mollusca	Chromosome	845889701
GCF_021730395.1	Mercenaria mercenaria	Venerida	Bivalvia	Mollusca	Chromosome	1858199728
GCF_001194135.2	Octopus bimaculoides	Octopoda	Cephalopoda	Mollusca	Chromosome	2342518435
GCF_000002075.1	Aplysia californica	Aplysiida	Gastropoda	Mollusca	Scaffold	927296314
GCF_003073045.1	Pomacea canaliculata	Architaenioglossa	Gastropoda	Mollusca	Chromosome	440143917
GCF_037392515.1	Haliotis asinina	Lepetellida	Gastropoda	Mollusca	Chromosome	1143434573
GCF_037325665.1	Littorina saxatilis	Littorinimorpha	Gastropoda	Mollusca	Chromosome	1256192465
GCF_041734735.1	Babylonia areolata	Neogastropoda	Gastropoda	Mollusca	Chromosome	1651990951
GCF_016097555.1	Gigantopelta aegis	Neomphalida	Gastropoda	Mollusca	Chromosome	1149605642
GCF_032854445.1	Liolophura sinensis	Chitonida	Polyplacophora	Mollusca	Chromosome	609495693
GCF_000002985.6	Caenorhabditis elegans	Rhabditida	Chromadorea	Nematoda	Complete Genome	100272607
GCF_000181795.1	Trichinella spiralis	Trichinellida	Enoplea	Nematoda	Scaffold	63525422
GCF_964204645.1	Tubulanus polymorphus	Tubulaniformes	Palaeonemertea	Nemertea	Chromosome	267806677
GCF_910592395.1	Lineus longissimus	Heteronemertea	Pilidiophora	Nemertea	Chromosome	391165532
GCF_000150275.1	Trichoplax adhaerens	Trichoplacea	Uniplacotomia	Placozoa	Scaffold	105631681
GCF_000524195.1	Echinococcus granulosus	Cyclophyllidea	Cestoda	Platyhelminthes	Scaffold	110837706
GCF_000715545.1	Opisthorchis viverrini	Opisthorchiida	Trematoda	Platyhelminthes	Scaffold	620452578
GCF_000237925.1	Schistosoma mansoni	Strigeidida	Trematoda	Platyhelminthes	Chromosome	364518427
GCF_964019385.1	Sycon ciliatum	Leucosolenida	Calcarea	Porifera	Chromosome	539574681
GCF_963678975.1	Dysidea avara	Dictyoceratida	Demospongiae	Porifera	Chromosome	550830897
GCF_000090795.2	Amphimedon queenslandica	Haplosclerida	Demospongiae	Porifera	Scaffold	164242647
GCF_963675165.1	Halichondria panicea	Suberitida	Demospongiae	Porifera	Chromosome	131456761
GCF_947507565.1	Oscarella lobularis	Homosclerophorida	Homoscleromorpha	Porifera	Chromosome	65248392
GCF_000485595.1	Priapulus caudatus	Priapulimorphida	Priapulimorpha	Priapulida	Scaffold	511723334
GCF_019649055.1	Paramacrobiotus metropolitanus	Parachela	Eutardigrada	Tardigrada	Scaffold	170509133
GCF_963678635.1	Symsagittifera roscoffensis	Acoela		Xenacoelomorpha	Chromosome	753507827
