Assembly Accession	Organism Name	order	class	phylum	Assembly Level	Assembly Stats Total Sequence Length
GCF_000691785.1	Leptosomus discolor	Leptosomiformes	Aves	Chordata	Scaffold	1136244952
GCF_000695765.1	Mesitornis unicolor	Mesitornithiformes	Aves	Chordata	Scaffold	1087290853
GCF_000709365.1	Tauraco erythrolophus	Musophagiformes	Aves	Chordata	Scaffold	1155540733
GCF_013368605.1	Nyctibius grandis	Nyctibiiformes	Aves	Chordata	Chromosome	1256393467
GCF_030867145.1	Opisthocomus hoazin	Opisthocomiformes	Aves	Chordata	Chromosome	1482459898
GCF_000695195.1	Chlamydotis macqueenii	Otidiformes	Aves	Chordata	Scaffold	1086566339
GCF_001522545.3	Parus major	Passeriformes	Aves	Chordata	Chromosome	1020293992
GCF_030463565.1	Pelecanus crispus	Pelecaniformes	Aves	Chordata	Chromosome	1314568463
GCF_000687285.1	Phaethon lepturus	Phaethontiformes	Aves	Chordata	Scaffold	1152958507
GCF_027791375.1	Indicator indicator	Piciformes	Aves	Chordata	Chromosome	1147325966
GCF_964195595.1	Calonectris borealis	Procellariiformes	Aves	Chordata	Chromosome	1366185058
GCF_004027225.2	Strigops habroptila	Psittaciformes	Aves	Chordata	Chromosome	1148597545
GCF_000699245.1	Pterocles gutturalis	Pterocliformes	Aves	Chordata	Scaffold	1069324295
GCF_028389875.1	Rhea pennata	Rheiformes	Aves	Chordata	Chromosome	1269000025
GCF_965638725.1	Aptenodytes patagonicus	Sphenisciformes	Aves	Chordata	Chromosome	1352580174
GCF_965140245.1	Athene noctua	Strigiformes	Aves	Chordata	Chromosome	1355857592
GCF_040807025.1	Struthio camelus	Struthioniformes	Aves	Chordata	Chromosome	1452018929
GCF_949628215.1	Phalacrocorax aristotelis	Suliformes	Aves	Chordata	Chromosome	1279116138
GCF_003342845.1	Nothoprocta perdicaria	Tinamiformes	Aves	Chordata	Scaffold	965904370
GCF_000703405.1	Apaloderma vittatum	Trogoniformes	Aves	Chordata	Scaffold	1070836417
GCF_035084215.1	Heptranchias perlo	Hexanchiformes	Chondrichthyes	Chordata	Chromosome	3249915908
GCF_963921235.1	Mobula hypostoma	Myliobatiformes	Chondrichthyes	Chordata	Chromosome	3475679493
GCF_021869965.1	Rhincodon typus	Orectolobiformes	Chondrichthyes	Chordata	Chromosome	2881325413
GCF_028641065.1	Leucoraja erinaceus	Rajiformes	Chondrichthyes	Chordata	Chromosome	2190844947
GCF_009764475.1	Pristis pectinata	Rhinopristiformes	Chondrichthyes	Chordata	Chromosome	2267840987
GCF_036971445.1	Narcine bancroftii	Torpediniformes	Chondrichthyes	Chordata	Chromosome	3328432768
GCF_900747795.2	Erpetoichthys calabaricus	Polypteriformes	Cladistia	Chordata	Chromosome	3613534470
GCF_015708825.1	Lethenteron reissneri	Petromyzontiformes	Hyperoartia	Chordata	Chromosome	1063012140
GCF_009819535.1	Lacerta agilis	Squamata	Lepidosauria	Chordata	Chromosome	1391387079
GCF_035083965.1	Branchiostoma lanceolatum	Amphioxiformes	Leptocardii	Chordata	Chromosome	458287516
GCF_050624435.1	Tenrec ecaudatus	Afrosoricida	Mammalia	Chordata	Chromosome	3922859826
GCF_009834535.1	Camelus ferus	Artiodactyla	Mammalia	Chordata	Chromosome	2087077296
GCF_018350215.1	Panthera leo	Carnivora	Mammalia	Chordata	Chromosome	2297552363
GCF_027574615.1	Eptesicus fuscus	Chiroptera	Mammalia	Chordata	Chromosome	2008057866
GCF_030445035.2	Dasypus novemcinctus	Cingulata	Mammalia	Chordata	Chromosome	3610534858
GCF_902635505.1	Sarcophilus harrisii	Dasyuromorphia	Mammalia	Chordata	Chromosome	3086657325
GCF_027409185.1	Cynocephalus volans	Dermoptera	Mammalia	Chordata	Chromosome	2814418120
GCF_027887165.1	Monodelphis domestica	Didelphimorphia	Mammalia	Chordata	Chromosome	3586166573
GCF_011100635.1	Trichosurus vulpecula	Diprotodontia	Mammalia	Chordata	Chromosome	3359330516
GCF_027595985.1	Sorex araneus	Eulipotyphla	Mammalia	Chordata	Chromosome	2405993548
GCF_030435755.1	Ochotona princeps	Lagomorpha	Mammalia	Chordata	Chromosome	2555444530
GCF_000299155.1	Elephantulus edwardii	Macroscelidea	Mammalia	Chordata	Scaffold	3843982861
GCF_019393635.1	Dromiciops gliroides	Microbiotheria	Mammalia	Chordata	Chromosome	3303199800
GCF_004115215.2	Ornithorhynchus anatinus	Monotremata	Mammalia	Chordata	Chromosome	1859264908
GCF_037893015.1	Macrotis lagotis	Peramelemorphia	Mammalia	Chordata	Chromosome	3655715178
GCF_037783145.1	Equus przewalskii	Perissodactyla	Mammalia	Chordata	Chromosome	2499640368
GCF_040802235.1	Manis javanica	Pholidota	Mammalia	Chordata	Chromosome	2559979548
GCF_023851605.1	Tamandua tetradactyla	Pilosa	Mammalia	Chordata	Chromosome	3205724741
GCF_000001405.40	Homo sapiens	Primates	Mammalia	Chordata	Chromosome	3099441038
GCF_024166365.1	Elephas maximus indicus	Proboscidea	Mammalia	Chordata	Chromosome	3401247148
GCF_000001635.27	Mus musculus	Rodentia	Mammalia	Chordata	Chromosome	2728206152
GCF_000334495.1	Tupaia chinensis	Scandentia	Mammalia	Chordata	Scaffold	2846580235
GCF_000243295.1	Trichechus manatus latirostris	Sirenia	Mammalia	Chordata	Scaffold	3103791524
GCF_040869285.1	Myxine glutinosa	Myxiniformes	Myxini	Chordata	Chromosome	3829258836
GCF_037176945.1	Latimeria chalumnae	Coelacanthiformes		Chordata	Chromosome	2947609019
GCF_030867095.1	Alligator mississippiensis	Crocodylia		Chordata	Chromosome	2346779227
GCF_013100865.1	Trachemys scripta elegans	Testudines		Chordata	Chromosome	2126182493
